comment_count,heat,likes,tags,year,month,weekday,hour,createtime
52,14815,14763,"['southkorea', 'atp', 'tennis', 'chung', 'AusOpen', 'milestone']",2018,1,3,18,2018-01-24 18:01:01
48,12523,12475,"['farah', 'cabal', 'doubles', 'ThatWinningFeeling', 'atp', 'ausopen', 'tennis']",2018,1,3,11,2018-01-24 11:49:20
645,60148,59503,"['friends', 'class', 'nadal', 'atp', 'ausopen', 'respect', 'tennis', 'federer']",2018,1,3,10,2018-01-24 10:22:33
38,14717,14679,"['Britain', 'australia', 'melbourne', 'Repost', 'ausopen']",2018,1,3,9,2018-01-24 09:51:17
425,31989,31564,"['edmund', 'cilic', 'atp', 'ausopen', 'tennis', 'chung', 'federer']",2018,1,3,9,2018-01-24 09:47:34
404,40757,40353,"['atp', 'ausopen', 'tennis', 'chung', 'federer']",2018,1,3,9,2018-01-24 09:40:59
64,26508,26444,"['ausopen', 'Repost']",2018,1,3,8,2018-01-24 08:16:07
173,22630,22457,"['family', 'moms', 'atp', 'ausopen', 'hyeonchung', 'tennis']",2018,1,3,0,2018-01-24 00:04:27
188,32550,32362,"['tennis', 'atp', 'ausopen', 'hyeonchung']",2018,1,2,23,2018-01-23 23:42:07
20,8442,8422,['GameInsightGroup'],2018,4,5,3,2018-04-06 03:29:30
12,4704,4692,"['AusOpen', 'IDSDP2018']",2018,4,4,22,2018-04-05 22:22:07
12,6300,6288,['AusOpen'],2018,4,3,21,2018-04-04 21:42:14
161,14472,14311,['AusOpen'],2018,4,3,19,2018-04-04 19:38:34
36,13325,13289,['AusOpen'],2018,4,2,21,2018-04-03 21:39:40
73,8749,8676,['AusOpen'],2018,4,2,2,2018-04-03 02:01:59
16,7673,7657,['AusOpen'],2018,4,2,1,2018-04-03 01:23:52
80,20052,19972,"['AusOpen', 'MondayMotivation']",2018,4,1,3,2018-04-02 03:45:16
10,5267,5257,['AusOpen'],2018,4,0,20,2018-04-01 20:39:17
121,10606,10485,['AusOpen'],2018,3,5,18,2018-03-30 18:51:02
23,6576,6553,['AusOpen'],2018,3,4,1,2018-03-29 01:52:44
168,14477,14309,['AusOpen'],2018,3,3,3,2018-03-28 03:03:24
29,8163,8134,['AusOpen'],2018,3,3,0,2018-03-28 00:09:42
242,16839,16597,['MiamiOpen'],2018,3,1,23,2018-03-26 23:46:33
23,6106,6083,"['AusOpen', 'MondayMotivation']",2018,3,1,4,2018-03-26 04:50:51
127,25164,25037,[],2018,3,0,5,2018-03-25 05:02:30
48,15208,15160,[],2018,3,0,3,2018-03-25 03:11:52
125,13254,13129,"['AusOpen', 'FlashbackFriday']",2018,3,5,2,2018-03-23 02:12:10
11,4943,4932,"['AusGP', 'AusOpen']",2018,3,3,22,2018-03-21 22:04:49
44,8642,8598,['AusOpen'],2018,3,3,18,2018-03-21 18:39:08
200,10205,10005,['GameInsightGroup'],2018,3,3,4,2018-03-21 04:35:21
369,19522,19153,['GameInsightGroup'],2018,3,3,2,2018-03-21 02:15:42
16,8023,8007,['AusOpen'],2018,3,2,19,2018-03-20 19:55:31
13,6188,6175,['AusOpen'],2018,3,2,1,2018-03-20 01:05:16
27,13387,13360,[],2018,3,1,19,2018-03-19 19:32:43
23,9026,9003,[],2018,3,1,1,2018-03-19 01:07:27
93,22436,22343,['BNPPO18'],2018,3,0,22,2018-03-18 22:39:20
66,20676,20610,['AusOpen'],2018,3,5,0,2018-03-16 00:48:59
49,20871,20822,['AusOpen'],2018,3,4,23,2018-03-15 23:36:26
223,19474,19251,['AusOpen'],2018,3,3,21,2018-03-14 21:43:14
78,14237,14159,[],2018,3,2,22,2018-03-13 22:27:45
46,12422,12376,['AusOpen'],2018,3,1,22,2018-03-12 22:08:24
21,9180,9159,['AusOpen'],2018,3,5,18,2018-03-09 18:55:59
70,10575,10505,"['AusOpen', 'FlashbackFriday']",2018,3,5,2,2018-03-09 02:45:34
18,4785,4767,['AusOpen'],2018,3,4,22,2018-03-08 22:00:42
18,5747,5729,"['pojd', 'AusOpen']",2018,3,4,3,2018-03-08 03:14:16
23,5474,5451,['AusOpen'],2018,3,3,0,2018-03-07 00:36:34
14,4372,4358,['AusOpen'],2018,3,2,0,2018-03-06 00:16:59
68,8704,8636,['Oscars'],2018,3,1,1,2018-03-05 01:24:21
20,8178,8158,['Oscars'],2018,3,0,18,2018-03-04 18:47:50
79,20646,20567,"['Oscars', 'AusOpen']",2018,3,0,18,2018-03-04 18:14:02
1285,26801,25516,['Oscars'],2018,3,0,2,2018-03-04 02:12:06
2350,34614,32264,['Oscars'],2018,3,6,0,2018-03-03 00:07:30
35,9493,9458,"['AusOpen', 'WorldWildlifeDay']",2018,3,5,21,2018-03-02 21:13:07
1220,15576,14356,['Oscars'],2018,3,5,3,2018-03-02 03:32:03
117,15003,14886,"['AusOpen', 'FlashbackFriday']",2018,3,5,0,2018-03-02 00:03:01
84,18116,18032,"['Repost', 'stretching', 'travel']",2018,3,4,19,2018-03-01 19:28:13
28,8757,8729,['AusOpen'],2018,3,4,2,2018-03-01 02:09:34
13,4712,4699,"['WorldComplimentDay', 'AusOpen']",2018,2,3,19,2018-02-28 19:24:51
51,10989,10938,[],2018,2,3,1,2018-02-28 01:09:57
11,3908,3897,[],2018,2,2,22,2018-02-27 22:43:22
66,14655,14589,"['AusOpen', 'Laureus18']",2018,2,2,16,2018-02-27 16:05:26
98,19331,19233,"['AusOpen', 'Laureus18']",2018,2,2,15,2018-02-27 15:15:20
49,8354,8305,"['AusOpen', 'Laureus18']",2018,2,2,14,2018-02-27 14:42:28
