twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
103,2018-04-07 14:35:08,The USA are in command of their Davis Cup quarter final against Belgium following wins for John #Isner and Sam… https://t.co/gA7pY3EPEV,42869268,Tennis!,Isner,https://t.co/gA7pY3EPEV,Sam Querrey,1,4,14,5,7
85,2018-04-07 14:12:43,South Africa:Kevin Anderson Reaches Miami Quarter-Finals - https://t.co/fhLnvRJXws #Africa #news,204707276,Africa,Africa,https://t.co/fhLnvRJXws,Kevin Anderson,1,0,14,6,7
109,2018-04-07 12:32:31,"Stan Wawrinka - Top 10 Cannonballs Shots

https://t.co/I4NmZ7IHVL

#Wawrinka #StanTheMan",4228798693,"Basel, Schweiz",Wawrinka,https://t.co/I4NmZ7IHVL,Stan Wawrinka,0,11,12,5,7
104,2018-04-07 09:17:07,Tennis:Belgique&gt;Coupe Davis | De Loore proche de l'exploit contre- https://t.co/bAEkGTm3At #tennis https://t.co/RwJ8une6am,604842991,,tennis,https://t.co/bAEkGTm3At,Sam Querrey,0,0,9,5,7
105,2018-04-07 08:25:54,#CoupeDavis : les Américains mènent 2-0 à l’issue de la première journée face à la Belgique grâce aux victoires en… https://t.co/kZPgi1B0KB,881942460041220097,,CoupeDavis,https://t.co/kZPgi1B0KB,Sam Querrey,0,0,8,5,7
41,2018-04-07 07:34:20,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,2186146144,WORLD EARTH PEACE,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,2,0,7,5,7
106,2018-04-07 03:54:05,That's all for #DavisCup Day One! John Isner and Sam Querrey gave the United States a 2-0 lead over Belgium to end… https://t.co/0T6HIv9ukk,16522486,"Nashville, Tenn.",DavisCup,https://t.co/0T6HIv9ukk,Sam Querrey,2,4,3,5,7
107,2018-04-07 03:11:12,#CopaDavis | QF: Sam Querrey supera a Ruben Bemelmans 6-1 7-6(5) 7-5 y Estados Unidos sella el 2-0 parcial ante Bél… https://t.co/5uUlDrYCMt,4886997329,Ciudad Autónoma de Buenos Aire,CopaDavis,https://t.co/5uUlDrYCMt,Sam Querrey,0,0,3,5,7
108,2018-04-07 03:05:57,"Sam Querrey gives #TeamUSA a 2-0 #DavisCup QF lead over Belgium with a 6-1, 7-6, 7-5 win against world No. 110 Rube… https://t.co/stNz3P4DUS",409738504,"Brooklyn, New York",TeamUSA,https://t.co/stNz3P4DUS,Sam Querrey,2,19,3,5,7
42,2018-04-06 23:35:05,"In Marseille, @David__Goffin and @stanwawrinka did it. Next week in Marrakech, @kyle8edmund will do it.
#PlayersBox… https://t.co/74OSdkxt3a",814801679778344960,Wherever there's a court,PlayersBox,https://t.co/74OSdkxt3a,David Goffin,2,0,23,4,6
